finn_kode,tittel,pris,storrelse_kvm,pris_per_kvm,boligtype,kommune,lenke
441307832,"GREÅKER - Attraktiv og innholdsrik enebolig ved vannkanten | 3 soverom | Sjøbod og garasje med verksted | Pene, solrike uteområder",5425000.0,173.0,31358.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=441307832
435854340,Navestad - Sjarmerende enebolig på stor og solrik tomt - Alt på et plan,3700000.0,96.0,38542.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=435854340
426083292,Klavestadhaugen - Moderne selveierleilighet fra 2022 i naturskjønne omgivelser ved Bodalstranda | Carport m/sportsbod | To soverom!,4350000.0,86.0,50581.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=426083292
447448148,Borgenhaugen - Moderne 4-roms leilighet fra 2020 - Vannbåren gulvvarme i alle rom - Uteplass på 24 kvm vendt mot sør/vest.,3500000.0,78.0,44872.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447448148
447417476,Nordberg - Enebolig fra 1923 med stort potensial. Benyttet som tomannsbolig; kjøkken og bad i begge etasjer. Utsyn til åkerlandskap,3490000.0,175.0,19943.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447417476
414159753,"Tidløs bolig med frodig uteområde, delikat bad og kort vei til Kulås - et perfekt hjem for barnefamilien.",4990000.0,180.0,27722.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=414159753
425625411,Alvim - 3-romsleilighet i 2. etasje - Solrik veranda med fin utsikt - Peisovn - Parkering,1190000.0,58.0,20517.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=425625411
420702735,"Innholdsrik og familievennlig enebolig m/herlige uteområder, loftstue og innglasset balkong | Bergvarme | Garasje",4850000.0,230.0,21087.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=420702735
350831137,Hevingen - Stilig funkishus med høy standard og utleiedel | Parkmessig uterom | Energieffektive løsninger | Nyere dobbelgarasje!,9500000.0,247.0,38462.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=350831137
365690311,"Sentrum - Lys og trivelig 3-roms toppleilighet med attraktiv, sentral beliggenhet | Solrik balkong | Oppvarming og varmtvann inkl.",1585000.0,68.0,23309.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=365690311
402223346,Vestre Spydevoll | Svært påkostet gård med en usedvanlig flott hovedbygning og vakkert tunområde | Redusert pris!,15900000.0,601.0,26456.0,Annet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=402223346
447088457,Nyoppført og familievennlig rekkehus fra 2025 med 2 soverom | Åpen løsning med utgang til veranda på 13 m² |,3990000.0,2025.0,1970.0,Rekkehus,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447088457
349290620,"Sarpsborg Sentrum - Moderne leilighet over 2 plan med solrik balkong, 2 soverom og skjermet beliggenhet sentralt i Sarpsborg!",1695000.0,96.0,17656.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=349290620
412372555,Halvpart av tomannsbolig i 2. etasje - 15 kvm terrasse og gode solforhold,1950000.0,61.0,31967.0,Tomannsbolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=412372555
423193481,Landlig og idyllisk enebolig med småbruksfølelse | Stor og solrik hage m/frukttrær og drivhus | Uthus og dobbel garasje,4890000.0,241.0,20290.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=423193481
434294582,Hafslundsøy - Oppgradert enebolig med fin standard og barnevennlig beliggenhet | Nytt kjøkken 2022 | Mulighet for 4 soverom | Garasje,4590000.0,115.0,39913.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=434294582
433222423,"Lys og fresh sentrumsnær 2-roms beliggende på enden! Oppgradert bad, nytt kjøkken, og vestvendt uteplass mot skogen",1950000.0,43.0,45349.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=433222423
411368777,Hafslundsøy - Romslig og velholdt murvilla - familieidyll med solrik veranda og attraktiv beliggenhet på Hafslundsøy!,5490000.0,225.0,24400.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=411368777
435539545,Pen 3-roms leilighet i 3. etasje | Oppgraderte overflater | Stor innglasset balkong | Oppvarming og varmtvann inkl. fk,2850000.0,68.0,41912.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=435539545
447073448,Sarpsborg sentrum - Selveierleilighet i 1. etasje med sentral beliggenhet - Parkeringsplass!,2050000.0,49.0,41837.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447073448
446890560,Kurland - Koselig 2-roms med overbygd balkong og skogen som nærmeste nabo | Varmtvann inkl. i FK | Parkering m/lader,1800000.0,61.0,29508.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=446890560
445909990,"Fantastiske utsikts- og solforhold! Nyere, moderne & stilren bolig m/carport, 3 soverom, loftstue og takterrasse",4890000.0,115.0,42522.0,Tomannsbolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=445909990
446406718,Sarpsborg sentrum - Påkostet hjørneleilighet i toppetasje - 2 soverom - Gode solforhold og skjermet for innsyn - Garasjeplass,2700000.0,94.0,28723.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=446406718
446405139,Grålum - Nyoppført og familievennlig rekkehus fra 2025 med 3 soverom | Åpen løsning med utgang til veranda på 13 m² |,4790000.0,2025.0,2365.0,Rekkehus,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=446405139
